;country;city
490;Switzerland;Bern
491;Switzerland;Lausanne
492;Taiwan;Changhwa
493;Taiwan;Chiayi
494;Taiwan;Chungho
495;Taiwan;Fengshan
496;Taiwan;Hsichuh
497;Taiwan;Lungtan
498;Taiwan;Nantou
499;Taiwan;Tanshui
500;Taiwan;Touliu
501;Taiwan;Tsaotun
502;Tanzania;Mwanza
503;Tanzania;Tabora
504;Tanzania;Zanzibar
505;Thailand;Nakhon Sawan
506;Thailand;Pak Kret
507;Thailand;Songkhla
508;Tonga;Nukualofa
509;Tunisia;Sousse
510;Turkey;Adana
511;Turkey;Balikesir
512;Turkey;Batman
513;Turkey;Denizli
514;Turkey;Eskisehir
515;Turkey;Gaziantep
516;Turkey;Inegl
517;Turkey;Kilis
518;Turkey;Ktahya
519;Turkey;Osmaniye
520;Turkey;Sivas
521;Turkey;Sultanbeyli
522;Turkey;Tarsus
523;Turkey;Tokat
524;Turkey;Usak
525;Turkmenistan;Ashgabat
526;Tuvalu;Funafuti
527;Ukraine;Kamjanets-Podilskyi
528;Ukraine;Konotop
529;Ukraine;Mukateve
530;Ukraine;ostka
531;Ukraine;Simferopol
532;Ukraine;Sumy
533;United Arab Emirates;Abu Dhabi
534;United Arab Emirates;al-Ayn
535;United Arab Emirates;Sharja
536;United Kingdom;Bradford
537;United Kingdom;Dundee
538;United Kingdom;London
539;United Kingdom;Southampton
540;United Kingdom;Southend-on-Sea
541;United Kingdom;Southport
542;United Kingdom;Stockport
543;United Kingdom;York
544;United States;Akron
545;United States;Arlington
546;United States;Augusta-Richmond County
547;United States;Aurora
548;United States;Bellevue
549;United States;Brockton
550;United States;Cape Coral
551;United States;Citrus Heights
552;United States;Clarksville
553;United States;Compton
554;United States;Dallas
555;United States;Dayton
556;United States;El Monte
557;United States;Fontana
558;United States;Garden Grove
559;United States;Garland
560;United States;Grand Prairie
561;United States;Greensboro
562;United States;Joliet
563;United States;Kansas City
564;United States;Lancaster
565;United States;Laredo
566;United States;Lincoln
567;United States;Manchester
568;United States;Memphis
569;United States;Peoria
570;United States;Roanoke
571;United States;Rockford
572;United States;Saint Louis
573;United States;Salinas
574;United States;San Bernardino
575;United States;Sterling Heights
576;United States;Sunnyvale
577;United States;Tallahassee
578;United States;Warren
579;Venezuela;Barcelona
580;Venezuela;Caracas
581;Venezuela;Cuman
582;Venezuela;Maracabo
583;Venezuela;Ocumare del Tuy
584;Venezuela;Valencia
585;Venezuela;Valle de la Pascua
586;Vietnam;Cam Ranh
587;Vietnam;Haiphong
588;Vietnam;Hanoi
589;Vietnam;Nam Dinh
590;Vietnam;Nha Trang
591;Vietnam;Vinh
592;Virgin Islands, U.S.;Charlotte Amalie
593;Yemen;Aden
594;Yemen;Hodeida
595;Yemen;Sanaa
596;Yemen;Taizz
597;Yugoslavia;Kragujevac
598;Yugoslavia;Novi Sad
599;Zambia;Kitwe
